enter_time,complete_time
1610172748458015,1610172748515637
1610172748458501,1610172748571705
1610172748458600,1610172748627625
1610172748458687,1610172748683493
1610172748458773,1610172748739244
1610172748458883,1610172748794734
1610172748458987,1610172748850506
1610172748459157,1610172748906470
1610172748459311,1610172748962284
1610172748459458,1610172749017895
1610172748459595,1610172749073448
1610172748459738,1610172749128970
1610172748459888,1610172749184409
1610172748460034,1610172749240001
1610172748460181,1610172749295703
1610172748460319,1610172749351300
1610172748460455,1610172749407313
1610172748460581,1610172749463351
1610172748460713,1610172749518661
1610172748460851,1610172749574294
1610172748460983,1610172749630002
1610172748461112,1610172749695018
1610172748461242,1610172749750523
1610172748461373,1610172749806196
1610172748461504,1610172749861737
1610172748461630,1610172749917301
1610172749461811,1610172749973198
1610172749461973,1610172750079789
1610172749462099,1610172750135422
1610172749462259,1610172750190996
1610172749462402,1610172750246835
1610172749462528,1610172750302343
1610172749462654,1610172750357718
1610172749462776,1610172750413443
1610172749462900,1610172750469069
1610172749463023,1610172750524513
1610172749463146,1610172750580100
1610172749463274,1610172750644827
1610172749463417,1610172750700550
1610172749463545,1610172750756100
1610172749463694,1610172750811629
1610172749463822,1610172750867103
1610172749463981,1610172750922713
1610172749464108,1610172750978442
1610172749464243,1610172751033899
1610172749464374,1610172751089327
1610172750464576,1610172751145306
1610172750464717,1610172751200802
1610172750464842,1610172751256503
1610172750464965,1610172751312469
1610172750465088,1610172751368266
1610172750465211,1610172751423662
1610172750465334,1610172751479141
1610172750465456,1610172751534907
1610172750465579,1610172751590724
1610172750465703,1610172751646537
1610172750465825,1610172751702854
1610172750465949,1610172751758443
1610172750466071,1610172751814162
1610172750466194,1610172751869760
1610172750466318,1610172751925558
1610172750466450,1610172751996636
1610172750466586,1610172752052440
1610172750466720,1610172752107877
1610172750466852,1610172752163518
1610172750466986,1610172752218971
1610172750467137,1610172752274499
1610172751467338,1610172752331353
1610172751467498,1610172752387015
1610172751467627,1610172752442703
1610172751467745,1610172752498697
1610172751467870,1610172752554312
1610172751467986,1610172752610070
1610172751468112,1610172752665890
1610172751468229,1610172752721626
1610172751468355,1610172752777306
1610172751468472,1610172752832746
1610172751468598,1610172752888408
1610172751468717,1610172752944244
1610172751468842,1610172752999834
1610172751468960,1610172753055509
1610172751469085,1610172753111232
1610172751469204,1610172753166568
1610172751469328,1610172753222178
1610172751469447,1610172753277946
1610172751469580,1610172753333448
1610172751469710,1610172753389286
1610172751469855,1610172753445063
1610172751469985,1610172753500488
1610172751470120,1610172753556236
1610172751470249,1610172753611902
1610172751470393,1610172753667481
1610172751470517,1610172753723244
1610172751470655,1610172753778723
1610172751470788,1610172753834172
1610172751470925,1610172753889704
1610172751471050,1610172753945342
1610172751471192,1610172754001046
1610172751471329,1610172754100179
1610172751471462,1610172754155551
1610172751471593,1610172754211215
